METER_NO,TASK,REASON
121205941128,Connect,09.04.2024 16:25:53 da haqdor: -17470.51
EX-2546263,Connect,09.04.2024 16:25:53 da haqdor: -21942.79
121206499964,Disconnect,09.04.2024 16:25:53 da qarzdor: 1813.79
111190280408,Connect,09.04.2024 16:25:53 da haqdor: -58990.21
EX-2632150,Connect,09.04.2024 16:25:53 da haqdor: -29288.91
EX-3061535,Connect,09.04.2024 16:25:53 da haqdor: -34596.19
111220084393,Disconnect,09.04.2024 16:25:54 da qarzdor: 3028116.69
111210234334,Connect,09.04.2024 16:25:54 da haqdor: -28959.4
111200499069,Connect,09.04.2024 16:25:54 da haqdor: -32939.09
111190342304,Connect,09.04.2024 16:25:54 da haqdor: -46680.13
121206824377,Connect,09.04.2024 16:25:54 da haqdor: -12208.74
111210013423,Disconnect,09.04.2024 16:25:54 da qarzdor: 49101.42
EX-2703545,Connect,09.04.2024 16:25:54 da haqdor: -3066.18
EX-3391604,Connect,09.04.2024 16:25:54 da haqdor: -21991.1
123200439454,Connect,09.04.2024 16:25:54 da haqdor: -50716.7
111190071631,Disconnect,09.04.2024 16:25:54 da qarzdor: 1979189.49
111210744032,Connect,09.04.2024 16:25:54 da haqdor: -32858.54
111200553060,Disconnect,09.04.2024 16:25:54 da qarzdor: 81556.78
121205430032,Connect,09.04.2024 16:25:54 da haqdor: -67350.97
111210440106,Disconnect,09.04.2024 16:25:55 da qarzdor: 1019871.51
EX-3235579,Connect,09.04.2024 16:25:55 da haqdor: -57405.51
EX-3088957,Connect,09.04.2024 16:25:55 da haqdor: -13313.43
111210001627,Connect,09.04.2024 16:25:55 da haqdor: -7380.8
121205905490,Connect,09.04.2024 16:25:55 da haqdor: -20196.89
111201029052,Connect,09.04.2024 16:25:55 da haqdor: -6473.84
111200932992,Connect,09.04.2024 16:25:55 da haqdor: -74960.3
111210167339,Connect,09.04.2024 16:25:55 da haqdor: -28203.58
111210193226,Connect,09.04.2024 16:25:55 da haqdor: -150385.18
111200738969,Connect,09.04.2024 16:25:55 da haqdor: -129181.03
021190228364,Connect,09.04.2024 16:25:55 da haqdor: -69179.34
111200975627,Disconnect,09.04.2024 16:25:55 da qarzdor: 98297.53
111210412713,Connect,09.04.2024 16:25:55 da haqdor: -21594.1
111200485747,Connect,09.04.2024 16:25:55 da haqdor: -128382.83
021180025187,Connect,09.04.2024 16:25:55 da haqdor: -27721.84
021180186488,Connect,09.04.2024 16:25:55 da haqdor: -144319.12
111200167112,Connect,09.04.2024 16:25:56 da haqdor: -14855.81
111201054732,Connect,09.04.2024 16:25:56 da haqdor: -109696
021190257958,Connect,09.04.2024 16:25:56 da haqdor: -64517
021190370159,Connect,09.04.2024 16:25:56 da haqdor: -16357.12
021190887055,Connect,09.04.2024 16:25:56 da haqdor: -42075.4
021180084963,Connect,09.04.2024 16:25:56 da haqdor: -16051.85
111201042069,Connect,09.04.2024 16:25:56 da haqdor: -97715.46
111201028147,Connect,09.04.2024 16:25:56 da haqdor: -35472.62
