METER_NO,TASK,REASON
021198132029,Connect,16.04.2024 17:32:09 da haqdor: -69787.56
021190536452,Disconnect,16.04.2024 17:32:09 da qarzdor: 3200005.1
111210797248,Disconnect,16.04.2024 17:32:09 da qarzdor: 41566.56
EX-3022348,Connect,16.04.2024 17:32:09 da haqdor: -49251.86
EX-2783564,Connect,16.04.2024 17:32:09 da haqdor: -127477.62
111220190032,Connect,16.04.2024 17:32:09 da haqdor: -1295486.42
111200043597,Connect,16.04.2024 17:32:09 da haqdor: -39245.84
111230237541,Disconnect,16.04.2024 17:32:09 da qarzdor: 1913.37
111201038729,Connect,16.04.2024 17:32:09 da haqdor: -9432.02
111201013980,Connect,16.04.2024 17:32:09 da haqdor: -28785.56
111210322499,Connect,16.04.2024 17:32:09 da haqdor: -9523.64
111201064367,Connect,16.04.2024 17:32:09 da haqdor: -7798.02
111210338586,Connect,16.04.2024 17:32:09 da haqdor: -6879.87
111200962197,Connect,16.04.2024 17:32:09 da haqdor: -5593.89
021190717237,Disconnect,16.04.2024 17:32:09 da qarzdor: 191202.46
021198068398,Connect,16.04.2024 17:32:10 da haqdor: -54079.2
021191017503,Disconnect,16.04.2024 17:32:10 da qarzdor: 0
021198072075,Connect,16.04.2024 17:32:10 da haqdor: -32915.2
111200382950,Connect,16.04.2024 17:32:10 da haqdor: -34887.87
111220122123,Disconnect,16.04.2024 17:32:10 da qarzdor: 55460
201920071933,Disconnect,16.04.2024 17:32:10 da qarzdor: 78339.59
021190692365,Disconnect,16.04.2024 17:32:10 da qarzdor: 737029.66
111190241126,Disconnect,16.04.2024 17:32:10 da qarzdor: 851492.26
021230042908,Connect,16.04.2024 17:32:10 da haqdor: -20105
111220152933,Disconnect,16.04.2024 17:32:10 da qarzdor: 9368.41
111210325586,Connect,16.04.2024 17:32:10 da haqdor: -19500.47
111200799877,Connect,16.04.2024 17:32:10 da haqdor: -58237.51
111200887256,Connect,16.04.2024 17:32:10 da haqdor: -6712.6
111210434118,Connect,16.04.2024 17:32:10 da haqdor: -57491.14
111210215212,Connect,16.04.2024 17:32:10 da haqdor: -9002.41
111210217794,Connect,16.04.2024 17:32:10 da haqdor: -31439.64
111230267611,Connect,16.04.2024 17:32:10 da haqdor: -209666.69
121206874880,Connect,16.04.2024 17:32:10 da haqdor: -147339.1
111230256505,Disconnect,16.04.2024 17:32:11 da qarzdor: 0
121206862157,Connect,16.04.2024 17:32:11 da haqdor: -110797.25
111210887170,Connect,16.04.2024 17:32:11 da haqdor: -396168.43
111230241194,Connect,16.04.2024 17:32:11 da haqdor: -16912.1
111220069801,Connect,16.04.2024 17:32:11 da haqdor: -80838.37
111220176334,Connect,16.04.2024 17:32:11 da haqdor: -65150.08
111230212580,Connect,16.04.2024 17:32:11 da haqdor: -42880
111220168995,Connect,16.04.2024 17:32:11 da haqdor: -119715
111220170837,Disconnect,16.04.2024 17:32:11 da qarzdor: 1026585.65
111220094413,Connect,16.04.2024 17:32:11 da haqdor: -25886.22
111210643558,Connect,16.04.2024 17:32:11 da haqdor: -8375.12
111220104839,Connect,16.04.2024 17:32:11 da haqdor: -50805
111230206534,Connect,16.04.2024 17:32:11 da haqdor: -50640
